p_id,unique_team_id,player_team_id,team_id_impute,player,numeric_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,week,year,plyr_number
tylerbass_buf_2022_18,buf_2022_18,tylerbass_buf_2022,buf_2022,tylerbass,33010,k,buf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
evanmcpherson_cin_2022_18,cin_2022_18,evanmcpherson_cin_2022,cin_2022,evanmcpherson,82583,k,cin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
robbiegould_sf_2022_18,sf_2022_18,robbiegould_sf_2022,sf_2022,robbiegould,2607,k,sf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mattprater_ari_2022_18,ari_2022_18,mattprater_ari_2022,ari_2022,mattprater,3471,k,ari,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
nickfolk_ne_2022_18,ne_2022_18,nickfolk_ne_2022,ne_2022,nickfolk,3794,k,ne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
masoncrosby_gb_2022_18,gb_2022_18,masoncrosby_gb_2022,gb_2022,masoncrosby,3809,k,gb,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
ryansuccop_tb_2022_18,tb_2022_18,ryansuccop_tb_2022,tb_2022,ryansuccop,5180,k,tb,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
grahamgano_nyg_2022_18,nyg_2022_18,grahamgano_nyg_2022,nyg_2022,grahamgano,5443,k,nyg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
randybullock_ten_2022_18,ten_2022_18,randybullock_ten_2022,ten_2022,randybullock,7154,k,ten,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
gregzuerlein_nyj_2022_18,nyj_2022_18,gregzuerlein_nyj_2022,nyj_2022,gregzuerlein,7163,k,nyj,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
justintucker_bal_2022_18,bal_2022_18,justintucker_bal_2022,bal_2022,justintucker,7604,k,bal,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brandonmcmanus_den_2022_18,den_2022_18,brandonmcmanus_den_2022,den_2022,brandonmcmanus,8437,k,den,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
brettmaher_dal_2022_18,dal_2022_18,brettmaher_dal_2022,dal_2022,brettmaher,8585,k,dal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cairosantos_chi_2022_18,chi_2022_18,cairosantos_chi_2022,chi_2022,cairosantos,8932,k,chi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
chrisboswell_pit_2022_18,pit_2022_18,chrisboswell_pit_2022,pit_2022,chrisboswell,8990,k,pit,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jasonmyers_sea_2022_18,sea_2022_18,jasonmyers_sea_2022,sea_2022,jasonmyers,10207,k,sea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
willutz_no_2022_18,no_2022_18,willutz_no_2022,no_2022,willutz,11096,k,no,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
kaimifairbairn_hou_2022_18,hou_2022_18,kaimifairbairn_hou_2022,hou_2022,kaimifairbairn,11161,k,hou,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jakeelliott_phi_2022_18,phi_2022_18,jakeelliott_phi_2022,phi_2022,jakeelliott,11908,k,phi,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
harrisonbutker_kc_2022_18,kc_2022_18,harrisonbutker_kc_2022,kc_2022,harrisonbutker,11988,k,kc,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
younghoekoo_atl_2022_18,atl_2022_18,younghoekoo_atl_2022,atl_2022,younghoekoo,12042,k,atl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
gregjoseph_min_2022_18,min_2022_18,gregjoseph_min_2022,min_2022,gregjoseph,22842,k,min,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
danielcarlson_lv_2022_18,lv_2022_18,danielcarlson_lv_2022,lv_2022,danielcarlson,28121,k,lv,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
jasonsanders_mia_2022_18,mia_2022_18,jasonsanders_mia_2022,mia_2022,jasonsanders,29578,k,mia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
chasemclaughlin_ind_2022_18,ind_2022_18,chasemclaughlin_ind_2022,ind_2022,chasemclaughlin,33285,k,ind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
joeyslye_was_2022_18,was_2022_18,joeyslye_was_2022,was_2022,joeyslye,39235,k,was,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
michaelbadgley_det_2022_18,det_2022_18,michaelbadgley_det_2022,det_2022,michaelbadgley,39417,k,det,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
eddypineiro_car_2022_18,car_2022_18,eddypineiro_car_2022,car_2022,eddypineiro,44140,k,car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
rileypatterson_jax_2022_18,jax_2022_18,rileypatterson_jax_2022,jax_2022,rileypatterson,57556,k,jax,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
mattgay_lar_2022_18,lar_2022_18,mattgay_lar_2022,lar_2022,mattgay,57643,k,lar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
camerondicker_lac_2022_18,lac_2022_18,camerondicker_lac_2022,lac_2022,camerondicker,77069,k,lac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
cadeyork_cle_2022_18,cle_2022_18,cadeyork_cle_2022,cle_2022,cadeyork,98975,k,cle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,18
